#,"What range your age is in?","How do you identify your gender?","Do you have any food intolerance, allergy or preference?",Other,"What is your preferred language when attending talks or workshops?","Which of these choices would match better with your current occupation?","How would you rate, in general, the XXL Meetup?","How appropriate was the duration of the talks at the XXL Meetup?","How appropriate was the depth of the talks at the XXL Meetup?","Learning Representations with Deep Learning in Tensorflow","Road Towards Web for Everyone - A11y in a Django Project","Citybikes: a tale of python and bike sharing","How would you rate the XXL Meetup's venue?","How would you rate the XXL Meetup's refreshment?","How would you rate, in general, the PyDay event?","How appropriate was the duration of the workshops at the PyDay?","How appropriate was the depth of the workshops at the PyDay?","Python Programming Introduction Course","Introduction to Jupyter","Introduction to Web Development with Django",Testing,"Serverless deployment in AWS with Zappa","Asyncio from the theory to the practice","Workshop on MondoDB with Python","How would you rate the PyDay's venue?","How would you rate the PyDay's lunch and coffee breaks?","How would you rate the whole event's web and the information provided there?","Are there any subjects you would like to hear about at future events?","Are there any speakers, companies or organizations that you would like to have present at a future events?","How did you hear of this event?",Other,"Do you have any other comment to share with us?","Start Date (UTC)","Submit Date (UTC)","Network ID"
00b886962747fc2b07bec2b6255e840d,"20 to 30 years old",Non-binary,None,,English,"IT related",5,5,4,,,,,,5,5,5,,,,4,1,5,,,,,Biopython,,Colleague/Friend,,,"2016-09-27 21:30:27","2016-09-27 21:32:36",a7ba9d0172
e975e71b32d4db745f9d51c6598b2fb9,"31 to 40 years old",Male,None,,Catalan,"IT related",,,,,,,,,5,1,4,5,4,4,,,,,5,5,5,,,"From PyBCN's twitter account",,,"2016-09-27 21:30:53","2016-09-27 21:33:36",4b6caae0fe
6d61609f429b7fcc3d26b8df15924a42,"20 to 30 years old",Male,None,,English,"IT related",,,,,,,,,4,2,4,,,,3,2,5,3,2,4,5,,,"From email at PyBCN's mailing list",,,"2016-09-27 21:32:27","2016-09-27 21:35:00",1d23f94b2a
745f1bece0fccd88071c1d36edd3bd3f,"31 to 40 years old",Male,None,,Catalan,"IT related",,,,,,,,,5,0,3,,5,4,,2,,,5,5,5,,,Colleague/Friend,,"For complicated setups, could be nice to provide a checklist prior to the talk, so half of it is not spent on getting the setup. Also load tests could be done by the speakers. Wifi could be better.","2016-09-27 21:31:23","2016-09-27 21:35:49",a0842a5c09
7633cae215430a1a24dcdfdcd4d4b973,"20 to 30 years old",Male,None,,Spanish,"IT related",2,5,1,3,1,5,3,3,2,,,,,,,,,,,,,,,"From email at PyBCN's mailing list",,,"2016-09-27 21:33:24","2016-09-27 21:35:58",f5b8e00dbb
c3c67f2b9c1ff9bd2522ad1e471c02bc,"20 to 30 years old",Male,None,,Spanish,"IT related",,,,,,,,,4,2,4,,,3,1,1,5,,3,4,3,,,Colleague/Friend,,,"2016-09-27 21:33:09","2016-09-27 21:38:51",fe73482331
8bff8d53faeb4ffe115bc99aa9a469bb,"20 to 30 years old",Male,None,,English,"IT related",,,,,,,,,4,1,3,,,,4,2,5,,3,5,5,,,"Other sources in Internet",,,"2016-09-27 21:38:32","2016-09-27 21:40:48",d6e29c031b
635e66928e129350a44b36d96403ac70,"20 to 30 years old",Male,None,,English,"Science related",6,4,4,2,4,,5,5,6,6,4,,,,,,5,,5,5,5,"More events",Skyscanner,"From email at PyBCN's mailing list",,,"2016-09-27 21:40:35","2016-09-27 21:45:18",4dc66f2735
680185cbc66fef09ef2adf8185709c43,"31 to 40 years old",Male,None,,Spanish,"IT related",4,3,3,4,3,4,5,5,6,2,2,,4,,,2,,,,5,5,,,Colleague/Friend,,,"2016-09-27 21:41:16","2016-09-27 21:46:12",12f5a2b480
731a56ef06fed18510344b9194b049ab,"20 to 30 years old",Male,None,,Spanish,"IT related",,,,,,,,,3,2,2,,,,2,1,5,,3,4,5,,,"From email at PyBCN's mailing list",,,"2016-09-27 21:42:28","2016-09-27 21:46:16",473a5a2dff
